index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time,num_dup,num_tot
naive-persondata,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[321.127003144, 326.455941044, 341.174670147, 360.923936245, 381.526645623]","[0.062313257, 0.061907747, 0.063856833, 0.062001488, 0.062031383]","[320.673894407, 325.999253726, 340.69138357, 360.490800267, 381.0639855]","[8.43764118, 8.37188421, 8.534376654999999, 8.435570296, 8.454397034]","[1.532520693, 1.497029502, 1.558299165, 1.506927938, 1.512541154]","[0.344940058, 0.332654043, 0.34197358, 0.334524108, 0.334595659]","[23395, 23395, 23395, 23395, 23395]","[36696, 36696, 36696, 36696, 36696]"
naive-dblp_to_amalgam1,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[31.59218768, 31.618568081, 31.343651758, 31.629825272, 31.114053934]","[0.000684745, 0.000742974, 0.000687122, 0.000677412, 0.000676374]","[2.055255873, 1.901947151, 1.912402905, 1.8515109459999999, 1.791418121]","[27.703163225, 27.893487764, 27.638119656, 27.955129569, 27.52349627]","[1.279056848, 1.287877212, 1.272320753, 1.285148747, 1.272897651]","[0.000608432, 0.000611412, 0.000603874, 0.000588522, 0.000596901]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
naive-amalgam1_to_amalgam3,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[126.880015538, 127.595574793, 126.887740375, 126.721937438, 126.780416997]","[0.001162954, 0.001185728, 0.001109787, 0.001180695, 0.00112221]","[2.527932377, 2.523436429, 2.432489219, 2.387715057, 2.388114395]","[115.412403984, 116.185671903, 115.581935057, 115.305760074, 115.369607457]","[6.877809354, 6.804687283, 6.786673091, 6.929870122, 6.92904193]","[0.000663076, 0.000666677, 0.000637676, 0.000663426, 0.000645499]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
naive-flighthotel,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
random-persondata,"[0.569620253164557, 0.5704225352112676, 0.64375, 0.6862745098039216, 0.6124031007751938]","[10, 8, 13, 13, 9]","[1.797093303, 1.699302917, 1.6064219419999999, 1.255440511, 1.207973673]","[0.00057492, 0.00063686, 0.000672699, 0.000502909, 0.00056516]","[1.6157466120000001, 1.587238826, 1.490822778, 1.16410622, 1.106860422]","[0.052795542, 0.051563221, 0.063540316, 0.044731276, 0.054388915]","[0.009613466, 0.00958439, 0.011182591, 0.007985357, 0.009755395]","[0.002487679, 0.002436227, 0.002924009, 0.0019485, 0.002560147]","[178, 63, 153, 79, 89]","[346, 128, 292, 154, 176]"
random-dblp_to_amalgam1,"[0.912739965095986, 0.9499561018437226, 1, 0.944153577661431, 0.971027216856892]","[21, 21, 23, 21, 22]","[30.265640089, 30.370282258, 30.954746797, 30.643221171, 30.229020302]","[0.000468551, 0.00057988, 0.000577981, 0.000470391, 0.000534663]","[0.634180986, 0.819632903, 0.858013616, 0.482299075, 0.800201865]","[27.734223961, 27.704881965, 28.234113917, 28.253998692, 27.585664711]","[1.296046486, 1.286142786, 1.294371958, 1.339862821, 1.279480415]","[0.00043583, 0.000529853, 0.000525401, 0.000433871, 0.000519851]","[17, 28, 30, 26, 11]","[36, 58, 62, 54, 24]"
random-amalgam1_to_amalgam3,"[0.9791745550927679, 1, 0.9788039364118092, 0.9886449659348978, 1]","[22, 24, 22, 23, 24]","[126.197564562, 125.601459096, 124.97875591, 126.848335289, 125.358286051]","[0.000904616, 0.000943195, 0.000749571, 0.000904892, 0.000900852]","[1.052060436, 1.032349535, 0.537421973, 1.022221713, 1.097616741]","[116.05987216, 115.523446367, 115.534793538, 116.72827818, 115.187346645]","[6.913508685, 6.881215529, 6.795353911, 6.945686418, 6.944379367]","[0.000511102, 0.00050901, 0.000374901, 0.000527547, 0.000515081]","[25, 24, 23, 19, 29]","[52, 50, 48, 40, 60]"
random-flighthotel,"[0.5283018867924528, 0.375, 0.36477987421383645, 0.5185185185185185, 0.46540880503144655]","[7, 5, 4, 7, 6]","[1.373670634, 0.657761213, 0.515795591, 1.527985666, 0.980885822]","[0.000252136, 0.000207134, 0.000158551, 0.000387209, 0.000196014]","[1.295212461, 0.617436172, 0.48084807, 1.46023119, 0.938520378]","[0.005990334, 0.003626374, 0.003206608, 0.009878109, 0.00502766]","[0.002295319, 0.001774817, 0.001444785, 0.003724088, 0.001816273]","[0.000643109, 0.000600078, 0.000491709, 0.001072714, 0.000498965]","[114, 85, 73, 47, 116]","[204, 158, 138, 84, 206]"
weighted_distance-persondata,"[0.546875, 0.546875, 0.546875, 0.546875, 0.546875]","[6, 6, 6, 6, 6]","[0.820475709, 0.78856092, 0.783821255, 0.762093232, 0.781499875]","[0.000376243, 0.000388615, 0.000374164, 0.000394113, 0.000390815]","[0.735891942, 0.725688124, 0.719114186, 0.696607385, 0.716245808]","[0.031168467, 0.030781501, 0.034091072, 0.034220608, 0.032617825]","[0.005442698, 0.005520677, 0.005422544, 0.005945234, 0.005548398]","[0.00145096, 0.00150613, 0.001424309, 0.001572931, 0.001421948]","[62, 62, 62, 62, 62]","[112, 112, 112, 112, 112]"
weighted_distance-dblp_to_amalgam1,"[0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986]","[21, 21, 21, 21, 21]","[30.026729881, 29.980096973, 30.028909645, 29.89990911, 29.881319016]","[0.000481795, 0.000462123, 0.000493133, 0.000459433, 0.000479471]","[0.633069143, 0.609643438, 0.625153662, 0.592552736, 0.612803263]","[27.548326615, 27.564265118, 27.600227475, 27.504082457, 27.477364801]","[1.270898372, 1.2622854559999999, 1.257877361, 1.2618697, 1.25675903]","[0.000451133, 0.000422303, 0.000480296, 0.000426643, 0.000432931]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
weighted_distance-amalgam1_to_amalgam3,"[0.9547681869581606, 0.9547681869581606, 0.9547681869581606, 0.9547681869581606, 0.9547681869581606]","[22, 22, 22, 22, 22]","[125.264445948, 125.206131603, 125.401066784, 126.786442293, 125.482043611]","[0.000842231, 0.000874721, 0.00083795, 0.000846352, 0.000813373]","[0.990520473, 0.986534706, 1.016027319, 0.94815548, 0.981322676]","[115.409173949, 115.296968643, 115.396649444, 116.780002445, 115.5757855]","[6.739731688, 6.8278867519999995, 6.889282922, 6.942592346, 6.820334214]","[0.00049781, 0.00049165, 0.000490681, 0.000494027, 0.000464716]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
weighted_distance-flighthotel,"[0.3522012578616352, 0.3522012578616352, 0.3522012578616352, 0.3522012578616352, 0.3522012578616352]","[3, 3, 3, 3, 3]","[0.453270744, 0.387144665, 0.387127223, 0.400386196, 0.403262887]","[0.00015476, 0.00012254, 0.00013291, 0.00015357, 0.00014892]","[0.385933333, 0.359279862, 0.356326383, 0.369031665, 0.365803768]","[0.00236064, 0.002196279, 0.002187279, 0.002381626, 0.002540329]","[0.00126265, 0.00109506, 0.001151359, 0.001248359, 0.00130299]","[0.00043783, 0.00039708, 0.00040434, 0.00043577, 0.00045347]","[41, 41, 41, 41, 41]","[72, 72, 72, 72, 72]"
greedy-persondata,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[0.701902583, 0.677780528, 0.640779654, 0.690710758, 0.645927343]","[0.000250492, 0.00026342, 0.000213391, 0.00024883, 0.00022927]","[0.641906908, 0.62435006, 0.593907819, 0.639908484, 0.592588363]","[0.023753276, 0.027481523, 0.022304055, 0.022965438, 0.022245765]","[0.004275509, 0.00475609, 0.003758209, 0.003989134, 0.003779551]","[0.00107658, 0.001138562, 0.000905731, 0.000973192, 0.000926873]","[39, 39, 39, 39, 39]","[80, 80, 80, 80, 80]"
greedy-dblp_to_amalgam1,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.979481613, 29.84211457, 29.843503775, 30.013113629, 30.045239505]","[0.00040887, 0.000390041, 0.000387492, 0.000396722, 0.000385003]","[0.361042391, 0.340107412, 0.329594764, 0.336802267, 0.334530372]","[27.754154209, 27.679433164, 27.678753790000002, 27.822878672, 27.879814989]","[1.286654982, 1.275868642, 1.277689612, 1.296165986, 1.284796742]","[0.000363391, 0.00035651, 0.000361612, 0.000358651, 0.000359262]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
greedy-amalgam1_to_amalgam3,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[126.178817407, 126.612328421, 126.153656262, 127.352848659, 126.046518486]","[0.001100894, 0.000777899, 0.000756637, 0.000743873, 0.000751973]","[0.534436487, 0.536295495, 0.539712395, 0.521933291, 0.524452238]","[116.440697453, 116.826970335, 116.258890682, 117.448830064, 116.291388793]","[6.996649231, 7.073967863, 7.174194249, 7.187320338, 7.05534339]","[0.000384635, 0.000381205, 0.000379988, 0.000427154, 0.000388346]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
greedy-flighthotel,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.869484089, 0.817606945, 0.80608795, 0.801313938, 0.853753641]","[0.000212112, 0.000197781, 0.000218671, 0.000210363, 0.000204582]","[0.797656649, 0.772249036, 0.760890422, 0.757733141, 0.804452434]","[0.004283165, 0.004324541, 0.004307566, 0.004183261, 0.004106715]","[0.001940755, 0.001884452, 0.002021419, 0.001862225, 0.001820907]","[0.000466292, 0.000510476, 0.000494265, 0.000462083, 0.000481995]","[53, 53, 53, 53, 53]","[108, 108, 108, 108, 108]"
